1169 SCHUEPFHEIM, 7.931728 47.003992;8.161827 47.002773;8.160376 46.894835;7.930739 46.896052;7.931728 47.003992
1170 ALPNACH, 8.161827 47.002773;8.391913 47.001092;8.39 46.893157;8.160376 46.894835;8.161827 47.002773
1171 BECKENRIED, 8.391913 47.001092;8.621983 46.998949;8.619608 46.891019;8.39 46.893157;8.391913 47.001092
1172 MUOTATAL, 8.621983 46.998949;8.852033 46.996345;8.849197 46.88842;8.619608 46.891019;8.621983 46.998949
1173 LINTHAL, 8.852033 46.996345;9.082059 46.993279;9.078761 46.88536;8.849197 46.88842;8.852033 46.996345
1174 ELM, 9.082059 46.993279;9.312057 46.989752;9.308298 46.88184;9.078761 46.88536;9.082059 46.993279
1175 VAETTIS, 9.312057 46.989752;9.542024 46.985763;9.537802 46.877859;9.308298 46.88184;9.312057 46.989752
1176 SCHIERS, 9.542024 46.985763;9.771955 46.981313;9.767272 46.873418;9.537802 46.877859;9.542024 46.985763
1177 SERNEUS, 9.771955 46.981313;10.001846 46.976402;9.996701 46.868516;9.767272 46.873418;9.771955 46.981313
1178 GROSS LITZNER, 10.001846 46.976402;10.231694 46.971029;10.226088 46.863153;9.996701 46.868516;10.001846 46.976402
1179 SAMNAUN TEIL, 1 10.231694 46.971029;10.461495 46.965194;10.455427 46.85733;10.226088 46.863153;10.231694 46.971029
2180 SAMNAUN TEIL, 2 10.461495 46.965194;10.691244 46.958898;10.684715 46.851047;10.455427 46.85733;10.461495 46.965194
1182 SAINTE-CROIX, 6.323267 46.891677;6.55288 46.893683;6.554654 46.785746;6.3255 46.783743;6.323267 46.891677
1183 GRANDSON, 6.55288 46.893683;6.782508 46.89523;6.783822 46.787289;6.554654 46.785746;6.55288 46.893683
1184 PAYERNE, 6.782508 46.89523;7.012148 46.896315;7.013002 46.788373;6.783822 46.787289;6.782508 46.89523
1185 FRIBOURG, 7.012148 46.896315;7.241794 46.89694;7.242189 46.788997;7.013002 46.788373;7.012148 46.896315
1186 SCHWARZENBURG, 7.241794 46.89694;7.471444 46.897105;7.471379 46.789161;7.242189 46.788997;7.241794 46.89694
1187 MUENSINGEN, 7.471444 46.897105;7.701094 46.896809;7.700568 46.788865;7.471379 46.789161;7.471444 46.897105
1188 EGGIWIL, 7.701094 46.896809;7.930739 46.896052;7.929754 46.78811;7.700568 46.788865;7.701094 46.896809
1189 SOERENBERG, 7.930739 46.896052;8.160376 46.894835;8.15893 46.786895;7.929754 46.78811;7.930739 46.896052
1190 MELCHTAL, 8.160376 46.894835;8.39 46.893157;8.388095 46.785221;8.15893 46.786895;8.160376 46.894835
1191 ENGELBERG, 8.39 46.893157;8.619608 46.891019;8.617243 46.783087;8.388095 46.785221;8.39 46.893157
1192 SCHAECHENTAL, 8.619608 46.891019;8.849197 46.88842;8.846372 46.780493;8.617243 46.783087;8.619608 46.891019
1193 TOEDI, 8.849197 46.88842;9.078761 46.88536;9.075476 46.777439;8.846372 46.780493;8.849197 46.88842
1194 FLIMS, 9.078761 46.88536;9.308298 46.88184;9.304553 46.773926;9.075476 46.777439;9.078761 46.88536
1195 REICHENAU, 9.308298 46.88184;9.537802 46.877859;9.533598 46.769953;9.304553 46.773926;9.308298 46.88184
1196 AROSA, 9.537802 46.877859;9.767272 46.873418;9.762607 46.765521;9.533598 46.769953;9.537802 46.877859
1197 DAVOS, 9.767272 46.873418;9.996701 46.868516;9.991577 46.760628;9.762607 46.765521;9.767272 46.873418
1198 SILVRETTA, 9.996701 46.868516;10.226088 46.863153;10.220504 46.755277;9.991577 46.760628;9.996701 46.868516
1199 SCUOL, 10.226088 46.863153;10.455427 46.85733;10.449383 46.749465;10.220504 46.755277;10.226088 46.863153
2200 PIZ LAD, 10.455427 46.85733;10.684715 46.851047;10.678211 46.743194;10.449383 46.749465;10.455427 46.85733
1201 MOUTHE, 6.096366 46.781281;6.3255 46.783743;6.327725 46.675808;6.099049 46.673351;6.096366 46.781281
1202 ORBE, 6.3255 46.783743;6.554654 46.785746;6.55642 46.677807;6.327725 46.675808;6.3255 46.783743
1203 YVERDON, 6.554654 46.785746;6.783822 46.787289;6.785131 46.679347;6.55642 46.677807;6.554654 46.785746
1204 ROMONT, 6.783822 46.787289;7.013002 46.788373;7.013852 46.680429;6.785131 46.679347;6.783822 46.787289
1205 ROSSENS, 7.013002 46.788373;7.242189 46.788997;7.242581 46.681051;7.013852 46.680429;7.013002 46.788373
1206 GUGGISBERG, 7.242189 46.788997;7.471379 46.789161;7.471313 46.681215;7.242581 46.681051;7.242189 46.788997
1207 THUN, 7.471379 46.789161;7.700568 46.788865;7.700045 46.68092;7.471313 46.681215;7.471379 46.789161
1208 BEATENBERG, 7.700568 46.788865;7.929754 46.78811;7.928772 46.680167;7.700045 46.68092;7.700568 46.788865
1209 BRIENZ, 7.929754 46.78811;8.15893 46.786895;8.157491 46.678954;7.928772 46.680167;7.929754 46.78811
1210 INNERTKIRCHEN, 8.15893 46.786895;8.388095 46.785221;8.386197 46.677283;8.157491 46.678954;8.15893 46.786895
1211 MEIENTAL, 8.388095 46.785221;8.617243 46.783087;8.614888 46.675153;8.386197 46.677283;8.388095 46.785221
